"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2019 Dollars, 2004-05 to 2019-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2019 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change
Utah,"$2,732","$2,830","$2,930","$3,010","$2,980","$3,229","$3,374","$3,426","$3,527","$3,638","$3,733","$3,833","$3,903","$3,931","$3,882","$3,901",0%,5%,,"$4,435","$4,705","$4,811","$5,000","$4,986","$5,448","$5,786","$6,019","$6,285","$6,496","$6,635","$6,840","$6,994","$7,106","$7,114","$7,162",1%,8%
Vermont,"$6,394","$6,552","$6,594","$6,775","$6,800","$7,232","$7,355","$7,405","$7,604","$7,787","$7,883","$8,095","$8,252","$8,364","$8,262","$8,205",-1%,4%,,"$11,898","$12,143","$12,334","$12,915","$13,228","$14,316","$14,680","$14,871","$15,146","$15,338","$15,590","$16,119","$16,592","$16,802","$17,306","$17,474",1%,12%
Virginia,"$2,819","$2,877","$2,991","$3,154","$3,336","$3,678","$4,219","$4,523","$4,695","$4,755","$4,911","$5,162","$5,302","$5,377","$5,349","$5,255",-2%,7%,,"$7,558","$7,909","$8,266","$8,632","$8,843","$9,455","$10,367","$10,829","$11,088","$11,386","$12,043","$12,705","$13,170","$13,437","$13,735","$13,627",-1%,13%
Washington,"$3,362","$3,457","$3,452","$3,546","$3,455","$3,757","$3,954","$4,331","$4,752","$4,729","$4,626","$4,485","$4,482","$4,518","$4,564","$4,611",1%,0%,,"$6,657","$6,896","$7,149","$7,373","$7,504","$8,722","$9,647","$10,782","$11,865","$11,874","$11,507","$11,059","$9,884","$9,947","$10,023","$10,077",1%,-12%
West Virginia,"$2,819","$2,760","$2,783","$2,888","$2,892","$3,136","$2,970","$3,074","$3,273","$3,601","$4,018","$4,117","$4,268","$4,381","$4,377","$4,384",0%,9%,,"$4,919","$5,083","$5,252","$5,427","$5,490","$5,933","$6,150","$6,287","$6,591","$6,868","$7,201","$7,679","$7,987","$8,291","$8,445","$8,487",0%,18%
Wisconsin,"$3,937","$4,112","$3,965","$4,028","$3,991","$4,178","$4,264","$4,348","$4,513","$4,590","$4,643","$4,802","$4,621","$4,675","$4,632","$4,619",0%,-1%,,"$7,069","$7,387","$7,618","$7,899","$7,927","$8,541","$9,075","$9,309","$9,732","$9,601","$9,445","$9,470","$9,524","$9,349","$9,178","$9,104",-1%,-4%
Wyoming,"$2,284","$2,324","$2,307","$2,367","$2,354","$2,578","$2,616","$2,643","$2,733","$2,861","$2,914","$2,990","$3,198","$3,354","$3,305","$4,173",26%,43%,,"$4,393","$4,502","$4,432","$4,378","$4,224","$4,439","$4,622","$4,685","$4,791","$4,837","$5,003","$5,258","$5,389","$5,471","$5,498","$5,581",2%,12%
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In Current Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19_rev,2019-20,1-Year % Change,5-Year % Change
Alabama,"$2,728","$2,730","$2,786","$2,809","$2,835","$2,839","$3,417","$4,010","$4,088","$4,151","$4,257","$4,314","$4,395","$4,480","$4,760","$4,871",2%,14%,,"$4,510","$4,782","$4,906","$5,244","$5,968","$6,487","$7,373","$8,001","$8,734","$9,161","$9,480","$9,746","$10,083","$10,650","$10,777","$10,918",1%,15%
